Row,Fact Check Number,Fact Check Text
166,1,Maharashtra Times - Indiatimes
167,1,Newschecker
168,1,Doğruluk Payı
169,1,FactCheckHub
170,1,Tempo.co
171,1,NewsMeter
172,1,misbar.com
173,1,afp verificat
174,1,AajTak Bangla
175,1,AFP Factual
176,1,Newtral
177,1,مسبار
178,1,Newschecker
179,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
180,1,Aaj Tak
181,1,Gigafact
182,1,dpa-factchecking
183,1,Samayam Telugu
184,1,tempo.co
185,1,FACTLY
186,1,Medical Dialogues
187,1,AFP Fact Check
188,1,dpa-factchecking
189,1,Tempo.co
190,1,PolitiFact
191,1,Australian Associated Press
192,1,TF1 Info
193,1,Apotheken Umschau
194,1,Factuel AFP
195,1,AajTak Bangla
196,1,Check Your Fact
197,1,FACTLY
198,1,AFP Fact Check
199,1,KGW
199,2,10TV
199,3,KREM
200,1,Вокс Україна
